"Plot Title: Rollinson_B5 "
"#","Time, GMT-05:00","Temp, °F()","Water Content, m³/m³()","PAR, uE()","Temp, °F()","RH, %()"
1,08/25/17 01:33:32 PM,61.891,0.1564,61.2,69.427,53.500
2,08/25/17 02:33:32 PM,62.062,0.1557,21.2,71.190,50.200
3,08/25/17 03:33:32 PM,62.319,0.1557,13.7,71.577,49.100
4,08/25/17 04:33:32 PM,62.533,0.1557,8.7,71.361,48.800
5,08/25/17 05:33:32 PM,62.704,0.1550,6.2,70.072,47.300
6,08/25/17 06:33:32 PM,62.834,0.1550,3.7,68.999,48.500
7,08/25/17 07:33:32 PM,62.834,0.1550,1.2,66.900,52.000
8,08/25/17 08:33:32 PM,62.834,0.1543,1.2,62.362,63.200
9,08/25/17 09:33:32 PM,62.791,0.1535,1.2,60.561,68.800
10,08/25/17 10:33:32 PM,62.661,0.1535,1.2,58.842,73.600
11,08/25/17 11:33:32 PM,62.533,0.1535,1.2,57.160,82.000
12,08/26/17 12:33:32 AM,62.362,0.1528,1.2,54.691,85.400
13,08/26/17 01:33:32 AM,62.191,0.1521,1.2,54.300,89.700
14,08/26/17 02:33:32 AM,62.019,0.1521,1.2,53.427,91.500
15,08/26/17 03:33:32 AM,61.804,0.1521,1.2,52.947,92.300
16,08/26/17 04:33:32 AM,61.633,0.1514,1.2,53.121,93.200
17,08/26/17 05:33:32 AM,61.419,0.1514,1.2,53.121,93.600
18,08/26/17 06:33:32 AM,61.248,0.1514,1.2,54.734,93.900
19,08/26/17 07:33:32 AM,61.119,0.1506,1.2,57.074,92.000
20,08/26/17 08:33:32 AM,61.032,0.1506,3.7,60.346,87.300
21,08/26/17 09:33:32 AM,61.032,0.1506,6.2,62.661,83.100
22,08/26/17 10:33:32 AM,61.119,0.1506,71.2,69.471,65.400
23,08/26/17 11:33:32 AM,61.333,0.1506,13.7,71.533,55.600
24,08/26/17 12:33:32 PM,61.547,0.1506,18.7,73.342,50.700
25,08/26/17 01:33:32 PM,61.848,0.1499,18.7,73.990,48.800
26,08/26/17 02:33:32 PM,62.148,0.1499,26.2,73.904,50.000
27,08/26/17 03:33:32 PM,62.447,0.1499,13.7,73.040,52.700
28,08/26/17 04:33:32 PM,62.661,0.1499,11.2,72.264,55.700
29,08/26/17 05:33:32 PM,62.834,0.1499,3.7,70.930,58.200
30,08/26/17 06:33:32 PM,63.005,0.1492,1.2,69.858,62.700
31,08/26/17 07:33:32 PM,63.090,0.1492,1.2,68.056,68.500
32,08/26/17 08:33:32 PM,63.090,0.1492,1.2,67.413,74.100
33,08/26/17 09:33:32 PM,63.133,0.1492,1.2,67.757,71.000
34,08/26/17 10:33:32 PM,63.090,0.1485,1.2,67.586,67.800
35,08/26/17 11:33:32 PM,63.090,0.1485,1.2,66.472,66.500
36,08/27/17 12:33:32 AM,63.048,0.1485,1.2,64.760,71.900
37,08/27/17 01:33:32 AM,63.005,0.1477,1.2,63.648,76.200
38,08/27/17 02:33:32 AM,62.962,0.1477,1.2,62.791,79.400
39,08/27/17 03:33:32 AM,62.875,0.1477,1.2,63.433,75.700
40,08/27/17 04:33:32 AM,62.791,0.1470,1.2,63.347,72.400
41,08/27/17 05:33:32 AM,62.748,0.1470,1.2,62.748,73.300
42,08/27/17 06:33:32 AM,62.661,0.1470,1.2,61.162,78.300
43,08/27/17 07:33:32 AM,62.533,0.1463,1.2,62.362,79.800
44,08/27/17 08:33:32 AM,62.447,0.1463,6.2,64.375,76.700
45,08/27/17 09:33:32 AM,62.406,0.1463,6.2,65.658,74.500
46,08/27/17 10:33:32 AM,62.447,0.1463,1.2,64.974,74.600
47,08/27/17 11:33:32 AM,62.490,0.1463,6.2,65.188,78.700
48,08/27/17 12:33:32 PM,62.533,0.1463,11.2,67.842,74.100
49,08/27/17 01:33:32 PM,62.620,0.1463,11.2,68.056,79.700
50,08/27/17 02:33:32 PM,62.704,0.1456,21.2,74.727,70.200
51,08/27/17 03:33:32 PM,62.919,0.1456,13.7,74.554,63.300
52,08/27/17 04:33:32 PM,63.219,0.1456,6.2,73.947,63.600
53,08/27/17 05:33:32 PM,63.433,0.1456,3.7,73.040,65.500
54,08/27/17 06:33:32 PM,63.604,0.1456,1.2,71.877,70.400
55,08/27/17 07:33:32 PM,63.689,0.1448,1.2,70.158,72.300
56,08/27/17 08:33:32 PM,63.775,0.1448,1.2,69.213,73.500
57,08/27/17 09:33:32 PM,63.775,0.1448,1.2,68.185,77.400
58,08/27/17 10:33:32 PM,63.775,0.1448,1.2,66.985,80.900
59,08/27/17 11:33:32 PM,63.775,0.1448,1.2,64.503,92.400
60,08/28/17 12:33:32 AM,63.732,0.1448,1.2,64.546,95.500
61,08/28/17 01:33:32 AM,63.689,0.1448,1.2,64.247,96.300
62,08/28/17 02:33:32 AM,63.604,0.1456,1.2,63.862,96.700
63,08/28/17 03:33:32 AM,63.561,0.1383,1.2,63.604,97.400
64,08/28/17 04:33:32 AM,63.518,0.1383,1.2,63.347,97.700
65,08/28/17 05:33:32 AM,63.475,0.1390,1.2,62.276,97.700
66,08/28/17 06:33:32 AM,63.433,0.1390,1.2,61.462,97.900
67,08/28/17 07:33:32 AM,63.347,0.1397,1.2,62.319,98.300
68,08/28/17 08:33:32 AM,63.262,0.1397,3.7,62.748,98.200
69,08/28/17 09:33:32 AM,63.219,0.1397,6.2,64.033,97.100
70,08/28/17 10:33:32 AM,63.219,0.1397,36.2,66.385,94.100
71,08/28/17 11:33:32 AM,63.304,0.1397,13.7,69.858,88.500
72,08/28/17 12:33:32 PM,63.475,0.1405,18.7,71.791,83.300
73,08/28/17 01:33:32 PM,63.732,0.1405,18.7,73.386,76.400
74,08/28/17 02:33:32 PM,63.990,0.1419,13.7,73.774,72.600
75,08/28/17 03:33:32 PM,64.247,0.1419,6.2,72.739,74.900
76,08/28/17 04:33:32 PM,64.459,0.1376,1.2,66.000,87.400
77,08/28/17 05:33:32 PM,64.503,0.1383,6.2,66.214,94.900
78,08/28/17 06:33:32 PM,64.503,0.1383,1.2,65.230,95.600
79,08/28/17 07:33:32 PM,64.503,0.1383,1.2,65.102,97.100
80,08/28/17 08:33:32 PM,64.418,0.1390,1.2,63.561,96.200
81,08/28/17 09:33:32 PM,64.332,0.1390,1.2,63.262,97.200
82,08/28/17 10:33:32 PM,64.247,0.1390,1.2,63.176,97.800
83,08/28/17 11:33:32 PM,64.117,0.1390,1.2,62.577,98.100
84,08/29/17 12:33:32 AM,63.990,0.1390,1.2,62.875,98.500
85,08/29/17 01:33:32 AM,63.903,0.1390,1.2,62.319,98.600
86,08/29/17 02:33:32 AM,63.775,0.1397,1.2,61.162,98.600
87,08/29/17 03:33:32 AM,63.689,0.1397,1.2,61.720,99.000
88,08/29/17 04:33:32 AM,63.561,0.1397,1.2,61.290,99.000
89,08/29/17 05:33:32 AM,63.433,0.1397,1.2,59.529,98.800
90,08/29/17 06:33:32 AM,63.347,0.1397,1.2,59.702,99.000
91,08/29/17 07:33:32 AM,63.219,0.1397,1.2,60.604,98.900
92,08/29/17 08:33:32 AM,63.133,0.1397,3.7,63.347,99.100
93,08/29/17 09:33:32 AM,63.048,0.1397,8.7,67.500,98.100
94,08/29/17 10:33:32 AM,63.133,0.1397,61.2,69.514,92.400
95,08/29/17 11:33:32 AM,63.347,0.1405,13.7,72.739,79.600
96,08/29/17 12:33:32 PM,63.604,0.1412,6.2,68.056,79.600
97,08/29/17 01:33:32 PM,63.862,0.1419,8.7,68.698,90.100
98,08/29/17 02:33:32 PM,63.990,0.1419,23.7,71.490,82.700
99,08/29/17 03:33:32 PM,64.117,0.1426,11.2,71.060,79.100
100,08/29/17 04:33:32 PM,64.247,0.1426,6.2,70.673,80.700
101,08/29/17 05:33:32 PM,64.375,0.1426,8.7,71.317,82.800
102,08/29/17 06:33:32 PM,64.459,0.1434,3.7,70.029,81.800
103,08/29/17 07:33:32 PM,64.546,0.1434,1.2,68.785,83.200
104,08/29/17 08:33:32 PM,64.589,0.1434,1.2,67.543,84.800
105,08/29/17 09:33:32 PM,64.546,0.1434,1.2,65.273,88.900
106,08/29/17 10:33:32 PM,64.503,0.1434,1.2,64.204,88.600
107,08/29/17 11:33:32 PM,64.418,0.1434,1.2,62.362,92.800
108,08/30/17 12:33:32 AM,64.288,0.1434,1.2,61.248,94.900
109,08/30/17 01:33:32 AM,64.117,0.1434,1.2,59.616,95.800
110,08/30/17 02:33:32 AM,63.946,0.1434,1.2,59.745,96.200
111,08/30/17 03:33:32 AM,63.775,0.1426,1.2,58.928,96.400
112,08/30/17 04:33:32 AM,63.604,0.1426,1.2,59.142,96.700
113,08/30/17 05:33:32 AM,63.433,0.1426,1.2,58.195,97.000
114,08/30/17 06:33:32 AM,63.262,0.1426,1.2,58.023,97.000
115,08/30/17 07:33:32 AM,63.133,0.1426,1.2,58.541,97.200
116,08/30/17 08:33:32 AM,62.962,0.1426,3.7,62.019,97.100
117,08/30/17 09:33:32 AM,62.875,0.1426,6.2,67.028,93.600
118,08/30/17 10:33:32 AM,62.919,0.1426,38.7,69.985,83.600
