"Plot Title: Rollinson_C6 "
"#","Time, GMT-05:00","Temp, °F()","Water Content, m³/m³()","PAR, uE()","Temp, °F()","RH, %()"
1,06/15/17 10:20:40 AM,67.199,0.0468,51.2,73.904,83.500
2,06/15/17 11:20:40 AM,67.372,0.0497,51.2,74.943,82.900
3,06/15/17 12:20:40 PM,67.627,0.0519,211.2,78.645,82.300
4,06/15/17 01:20:40 PM,68.013,0.0533,153.7,80.404,77.600
5,06/15/17 02:20:40 PM,68.571,0.0540,56.2,81.023,73.700
6,06/15/17 03:20:40 PM,69.085,0.0540,26.2,82.441,66.300
7,06/15/17 04:20:40 PM,69.386,0.0548,51.2,83.154,62.600
8,06/15/17 05:20:40 PM,69.685,0.0540,13.7,82.486,58.200
9,06/15/17 06:20:40 PM,69.942,0.0548,8.7,81.730,52.700
10,06/15/17 07:20:40 PM,69.985,0.0540,3.7,79.304,54.400
11,06/15/17 08:20:40 PM,69.985,0.0540,1.2,74.770,64.200
12,06/15/17 09:20:40 PM,69.858,0.0540,1.2,72.050,67.700
13,06/15/17 10:20:40 PM,69.685,0.0533,1.2,70.072,68.900
14,06/15/17 11:20:40 PM,69.427,0.0533,1.2,70.115,74.100
15,06/16/17 12:20:40 AM,69.170,0.0526,1.2,73.299,76.400
16,06/16/17 01:20:40 AM,68.956,0.0533,1.2,67.671,74.500
17,06/16/17 02:20:40 AM,68.742,0.0548,1.2,64.033,91.900
18,06/16/17 03:20:40 AM,68.443,0.0548,1.2,64.674,95.300
19,06/16/17 04:20:40 AM,68.142,0.0555,1.2,64.161,96.100
20,06/16/17 05:20:40 AM,67.842,0.0555,1.2,64.803,95.500
21,06/16/17 06:20:40 AM,67.586,0.0555,1.2,64.760,92.300
22,06/16/17 07:20:40 AM,67.372,0.0577,1.2,64.033,96.200
23,06/16/17 08:20:40 AM,67.158,0.0577,6.2,64.760,97.900
24,06/16/17 09:20:40 AM,66.985,0.0584,13.7,66.558,97.600
25,06/16/17 10:20:40 AM,66.857,0.0584,11.2,67.842,97.000
26,06/16/17 11:20:40 AM,66.814,0.0591,21.2,69.901,96.800
27,06/16/17 12:20:40 PM,66.857,0.0598,56.2,73.861,89.600
28,06/16/17 01:20:40 PM,67.071,0.0598,153.7,75.333,79.500
29,06/16/17 02:20:40 PM,67.627,0.0606,38.7,78.076,77.000
30,06/16/17 03:20:40 PM,68.099,0.0606,28.7,79.173,71.300
31,06/16/17 04:20:40 PM,68.443,0.0606,31.2,80.316,69.100
32,06/16/17 05:20:40 PM,68.698,0.0606,13.7,79.084,67.000
33,06/16/17 06:20:40 PM,68.913,0.0598,13.7,79.524,64.900
34,06/16/17 07:20:40 PM,69.042,0.0598,3.7,78.822,67.800
35,06/16/17 08:20:40 PM,69.085,0.0598,1.2,76.811,70.800
36,06/16/17 09:20:40 PM,69.085,0.0591,1.2,73.299,79.800
37,06/16/17 10:20:40 PM,69.042,0.0584,1.2,72.696,85.300
38,06/16/17 11:20:40 PM,68.956,0.0584,1.2,72.997,86.600
39,06/17/17 12:20:40 AM,68.871,0.0584,1.2,73.126,85.400
40,06/17/17 01:20:40 AM,68.785,0.0584,1.2,74.338,86.300
41,06/17/17 02:20:40 AM,68.742,0.0577,1.2,73.515,87.000
42,06/17/17 03:20:40 AM,68.657,0.0577,1.2,73.774,87.500
43,06/17/17 04:20:40 AM,68.614,0.0577,1.2,71.533,86.800
44,06/17/17 05:20:40 AM,68.571,0.0577,1.2,70.286,93.700
45,06/17/17 06:20:40 AM,68.527,0.0569,1.2,69.343,96.100
46,06/17/17 07:20:40 AM,68.400,0.0569,3.7,69.557,97.400
47,06/17/17 08:20:40 AM,68.313,0.0569,8.7,71.920,95.700
48,06/17/17 09:20:40 AM,68.270,0.0569,31.2,75.160,90.600
49,06/17/17 10:20:40 AM,68.313,0.0577,123.7,76.942,84.700
50,06/17/17 11:20:40 AM,68.484,0.0569,48.7,77.509,81.800
51,06/17/17 12:20:40 PM,68.742,0.0569,46.2,78.296,81.000
52,06/17/17 01:20:40 PM,69.042,0.0577,106.2,79.743,80.700
53,06/17/17 02:20:40 PM,69.386,0.0577,33.7,79.567,79.800
54,06/17/17 03:20:40 PM,69.643,0.0569,23.7,78.382,81.400
55,06/17/17 04:20:40 PM,69.814,0.0569,41.2,76.725,84.400
56,06/17/17 05:20:40 PM,69.942,0.0562,13.7,74.727,84.200
57,06/17/17 06:20:40 PM,69.985,0.0562,8.7,72.136,88.400
58,06/17/17 07:20:40 PM,69.942,0.0555,6.2,72.912,91.100
59,06/17/17 08:20:40 PM,69.814,0.0555,1.2,72.221,93.400
60,06/17/17 09:20:40 PM,69.685,0.0555,1.2,71.146,95.000
61,06/17/17 10:20:40 PM,69.557,0.0562,1.2,71.274,97.700
62,06/17/17 11:20:40 PM,69.427,0.0562,1.2,71.274,98.600
63,06/18/17 12:20:40 AM,69.300,0.0562,1.2,70.459,99.100
64,06/18/17 01:20:40 AM,69.170,0.0562,1.2,70.759,99.400
65,06/18/17 02:20:40 AM,69.085,0.0562,1.2,70.459,99.100
66,06/18/17 03:20:40 AM,68.999,0.0562,1.2,70.372,99.400
67,06/18/17 04:20:40 AM,68.913,0.0562,1.2,70.543,99.600
68,06/18/17 05:20:40 AM,68.828,0.0562,1.2,70.372,99.300
69,06/18/17 06:20:40 AM,68.742,0.0555,1.2,70.029,98.700
70,06/18/17 07:20:40 AM,68.657,0.0555,1.2,68.956,96.300
71,06/18/17 08:20:40 AM,68.571,0.0548,8.7,69.557,90.600
72,06/18/17 09:20:40 AM,68.443,0.0548,38.7,70.329,87.200
73,06/18/17 10:20:40 AM,68.400,0.0548,266.2,70.930,81.400
74,06/18/17 11:20:40 AM,68.657,0.0548,126.2,72.610,76.400
75,06/18/17 12:20:40 PM,68.828,0.0548,153.7,72.610,71.600
76,06/18/17 01:20:40 PM,68.956,0.0548,51.2,73.558,70.700
77,06/18/17 02:20:40 PM,69.213,0.0540,31.2,73.429,69.100
78,06/18/17 03:20:40 PM,69.256,0.0540,28.7,73.602,66.700
79,06/18/17 04:20:40 PM,69.256,0.0540,63.7,73.861,66.600
80,06/18/17 05:20:40 PM,69.213,0.0533,21.2,72.050,64.100
81,06/18/17 06:20:40 PM,69.170,0.0526,13.7,71.490,68.300
82,06/18/17 07:20:40 PM,68.999,0.0526,6.2,71.490,70.500
83,06/18/17 08:20:40 PM,68.828,0.0519,1.2,70.930,70.200
84,06/18/17 09:20:40 PM,68.657,0.0519,1.2,70.587,70.200
85,06/18/17 10:20:40 PM,68.484,0.0511,1.2,67.798,73.700
86,06/18/17 11:20:40 PM,68.313,0.0511,1.2,66.600,79.900
87,06/19/17 12:20:40 AM,68.099,0.0504,1.2,66.729,77.200
88,06/19/17 01:20:40 AM,67.885,0.0504,1.2,66.214,76.400
89,06/19/17 02:20:40 AM,67.671,0.0504,1.2,64.931,78.800
90,06/19/17 03:20:40 AM,67.456,0.0504,1.2,62.704,82.300
91,06/19/17 04:20:40 AM,67.199,0.0497,1.2,61.290,87.000
92,06/19/17 05:20:40 AM,66.943,0.0497,1.2,61.162,89.200
93,06/19/17 06:20:40 AM,66.643,0.0497,1.2,61.162,89.200
94,06/19/17 07:20:40 AM,66.385,0.0497,3.7,63.433,89.500
95,06/19/17 08:20:40 AM,66.173,0.0497,16.2,65.273,84.400
96,06/19/17 09:20:40 AM,66.087,0.0497,23.7,68.400,83.000
