"Plot Title: Rollinson_C6 "
"#","Time, GMT-05:00","Temp, °F()","Water Content, m³/m³()","PAR, uE()","Temp, °F()","RH, %()"
1,09/26/18 12:33:24 PM,61.333,0.1601,208.7,61.162,66.400
2,09/26/18 01:33:24 PM,61.462,0.1594,33.7,62.276,65.700
3,09/26/18 02:33:24 PM,61.720,0.1601,28.7,62.490,64.500
4,09/26/18 03:33:24 PM,61.891,0.1594,36.2,62.962,63.100
5,09/26/18 04:33:24 PM,62.019,0.1594,13.7,63.176,63.900
6,09/26/18 05:33:24 PM,62.062,0.1586,6.2,61.977,63.800
7,09/26/18 06:33:24 PM,62.019,0.1586,1.2,59.185,67.300
8,09/26/18 07:33:24 PM,61.891,0.1586,1.2,56.685,75.800
9,09/26/18 08:33:24 PM,61.633,0.1586,1.2,54.430,79.900
10,09/26/18 09:33:24 PM,61.248,0.1579,1.2,53.427,83.400
11,09/26/18 10:33:24 PM,60.818,0.1579,1.2,52.509,85.500
12,09/26/18 11:33:24 PM,60.433,0.1572,1.2,51.105,86.300
13,09/27/18 12:33:24 AM,60.089,0.1572,1.2,50.047,88.400
14,09/27/18 01:33:24 AM,59.702,0.1572,1.2,48.717,90.200
15,09/27/18 02:33:24 AM,59.315,0.1572,1.2,47.871,92.200
16,09/27/18 03:33:24 AM,58.928,0.1564,1.2,47.199,93.600
17,09/27/18 04:33:24 AM,58.541,0.1564,1.2,46.661,94.400
18,09/27/18 05:33:24 AM,58.195,0.1564,1.2,48.227,95.100
19,09/27/18 06:33:24 AM,57.893,0.1564,1.2,47.377,93.900
20,09/27/18 07:33:24 AM,57.679,0.1564,1.2,47.512,94.200
21,09/27/18 08:33:24 AM,57.506,0.1557,1.2,48.405,95.300
22,09/27/18 09:33:24 AM,57.376,0.1557,11.2,54.300,94.400
23,09/27/18 10:33:24 AM,57.549,0.1557,21.2,59.099,84.100
24,09/27/18 11:33:24 AM,57.936,0.1557,43.7,61.891,72.100
25,09/27/18 12:33:24 PM,58.582,0.1557,38.7,62.019,64.400
26,09/27/18 01:33:24 PM,59.142,0.1550,41.2,63.946,63.100
27,09/27/18 02:33:24 PM,59.486,0.1550,38.7,64.760,60.600
28,09/27/18 03:33:24 PM,59.745,0.1550,38.7,65.959,55.700
29,09/27/18 04:33:24 PM,59.959,0.1550,8.7,64.589,57.400
30,09/27/18 05:33:24 PM,60.174,0.1550,3.7,65.444,52.700
31,09/27/18 06:33:24 PM,60.217,0.1550,1.2,61.376,63.900
32,09/27/18 07:33:24 PM,60.217,0.1543,1.2,60.303,65.700
33,09/27/18 08:33:24 PM,60.132,0.1543,1.2,58.411,68.700
34,09/27/18 09:33:24 PM,60.003,0.1543,1.2,56.165,73.400
35,09/27/18 10:33:24 PM,59.830,0.1543,1.2,54.648,76.000
36,09/27/18 11:33:24 PM,59.572,0.1543,1.2,54.995,79.200
37,09/28/18 12:33:24 AM,59.358,0.1543,1.2,55.168,78.900
38,09/28/18 01:33:24 AM,59.142,0.1535,1.2,55.863,79.700
39,09/28/18 02:33:24 AM,59.056,0.1535,1.2,55.819,80.000
40,09/28/18 03:33:24 AM,58.971,0.1535,1.2,53.341,81.000
41,09/28/18 04:33:24 AM,58.798,0.1535,1.2,52.817,83.500
