"Plot Title: Rollinson_D1 "
"#","Time, GMT-05:00","Temp, °F()","Water Content, m³/m³()","PAR, uE()","Temp, °F()","RH, %()"
1,06/26/17 03:30:55 PM,63.304,0.0795,36.2,68.956,46.400
2,06/26/17 04:30:55 PM,63.347,0.0773,41.2,67.199,45.400
3,06/26/17 05:30:55 PM,63.347,0.0766,31.2,67.543,47.300
4,06/26/17 06:30:55 PM,63.262,0.0758,11.2,66.472,47.000
5,06/26/17 07:30:55 PM,63.090,0.0751,6.2,63.775,52.600
6,06/26/17 08:30:55 PM,62.875,0.0751,1.2,61.162,58.200
7,06/26/17 09:30:55 PM,62.620,0.0751,1.2,59.142,66.700
8,06/26/17 10:30:55 PM,62.362,0.0744,1.2,58.411,68.200
9,06/26/17 11:30:55 PM,62.062,0.0744,1.2,56.122,70.500
10,06/27/17 12:30:55 AM,61.761,0.0744,1.2,55.602,73.600
11,06/27/17 01:30:55 AM,61.462,0.0736,1.2,54.995,76.200
12,06/27/17 02:30:55 AM,61.162,0.0736,1.2,53.908,78.700
13,06/27/17 03:30:55 AM,60.904,0.0736,1.2,52.641,81.100
14,06/27/17 04:30:55 AM,60.604,0.0736,1.2,52.160,83.500
15,06/27/17 05:30:55 AM,60.303,0.0729,1.2,52.291,83.200
16,06/27/17 06:30:55 AM,60.046,0.0729,1.2,52.597,84.100
17,06/27/17 07:30:55 AM,59.873,0.0729,6.2,56.122,82.700
18,06/27/17 08:30:55 AM,59.788,0.0729,13.7,60.217,76.700
19,06/27/17 09:30:55 AM,59.916,0.0722,36.2,63.990,69.700
20,06/27/17 10:30:55 AM,60.217,0.0722,126.2,67.114,60.600
21,06/27/17 11:30:55 AM,60.647,0.0715,121.2,68.913,54.100
22,06/27/17 12:30:55 PM,61.205,0.0715,48.7,69.514,51.300
23,06/27/17 01:30:55 PM,61.761,0.0707,108.7,70.243,50.200
24,06/27/17 02:30:55 PM,62.447,0.0707,343.7,71.964,46.700
25,06/27/17 03:30:55 PM,63.090,0.0693,41.2,73.040,45.400
26,06/27/17 04:30:55 PM,63.390,0.0686,33.7,73.299,43.900
27,06/27/17 05:30:55 PM,63.604,0.0686,21.2,72.783,46.100
28,06/27/17 06:30:55 PM,63.648,0.0678,13.7,72.007,42.800
29,06/27/17 07:30:55 PM,63.648,0.0678,6.2,72.480,42.400
30,06/27/17 08:30:55 PM,63.604,0.0671,1.2,70.416,43.400
31,06/27/17 09:30:55 PM,63.433,0.0671,1.2,68.185,48.000
32,06/27/17 10:30:55 PM,63.262,0.0664,1.2,66.258,58.700
33,06/27/17 11:30:55 PM,63.048,0.0664,1.2,65.059,55.200
34,06/28/17 12:30:55 AM,62.791,0.0657,1.2,63.862,57.800
35,06/28/17 01:30:55 AM,62.533,0.0657,1.2,61.891,61.100
36,06/28/17 02:30:55 AM,62.276,0.0649,1.2,60.775,63.100
