"Plot Title: Rollinson_N115"
"#","Date Time, GMT-05:00","Temp, °F (LGR S/N: 9663852, SEN S/N: 2445098)","Water Content, m³/m³ (LGR S/N: 9663852, SEN S/N: 9673987)","PAR, µmol/m²/s (LGR S/N: 9663852, SEN S/N: 9680255)","Temp, °F (LGR S/N: 9663852, SEN S/N: 20210256)","RH, % (LGR S/N: 9663852, SEN S/N: 20210256)"
1,02/22/19 11:10:44 AM,33.188,0.1172,216.2,34.027,76.100
2,02/22/19 12:10:44 PM,33.188,0.1172,328.7,36.939,71.500
3,02/22/19 01:10:44 PM,33.188,0.1180,311.2,38.606,66.600
4,02/22/19 02:10:44 PM,33.188,0.1194,403.7,39.596,62.500
5,02/22/19 03:10:44 PM,33.188,0.1209,278.7,40.672,56.900
6,02/22/19 04:10:44 PM,33.188,0.1209,183.7,39.736,56.900
7,02/22/19 05:10:44 PM,33.188,0.1209,83.7,37.369,58.900
8,02/22/19 06:10:44 PM,33.188,0.1209,33.7,35.006,65.100
9,02/22/19 07:10:44 PM,33.188,0.1209,1.2,32.841,74.000
10,02/22/19 08:10:44 PM,33.188,0.1201,1.2,31.491,79.700
11,02/22/19 09:10:44 PM,33.188,0.1201,1.2,31.239,82.000
12,02/22/19 10:10:44 PM,33.188,0.1194,1.2,30.529,85.400
13,02/22/19 11:10:44 PM,33.188,0.1194,1.2,32.193,87.500
14,02/23/19 12:10:44 AM,33.188,0.1194,1.2,33.534,86.500
15,02/23/19 01:10:44 AM,33.188,0.1201,1.2,34.320,84.200
16,02/23/19 02:10:44 AM,33.188,0.1201,1.2,33.435,80.900
17,02/23/19 03:10:44 AM,33.188,0.1201,1.2,33.435,83.100
18,02/23/19 04:10:44 AM,33.237,0.1201,1.2,34.027,82.000
19,02/23/19 05:10:44 AM,33.237,0.1201,1.2,34.124,80.900
20,02/23/19 06:10:44 AM,33.237,0.1209,1.2,34.272,82.200
21,02/23/19 07:10:44 AM,33.237,0.1209,1.2,33.831,84.600
