"Plot_Name","Date_Check","Soil_Moisture","Relative_Humidity","PAR","Soil_Temp","Air_Temp"
"N115",2018-02-01 00:00:00,0.2095,73.6,1.2,1.64277777777778,1.50722222222222
"N115",2018-02-01 01:00:00,0.2095,74.3,1.2,1.64277777777778,0.412222222222221
"N115",2018-02-01 02:00:00,0.2102,76.9,1.2,1.67,-0.00388888888888969
"N115",2018-02-01 03:00:00,0.2095,78.7,1.2,1.67,-0.957777777777778
"N115",2018-02-01 04:00:00,0.2095,79.9,1.2,1.67,-0.845000000000001
"N115",2018-02-01 05:00:00,0.2095,80.3,1.2,1.64277777777778,-0.591111111111111
"N115",2018-02-01 06:00:00,0.2087,81.5,1.2,1.64277777777778,-0.591111111111111
"N115",2018-02-01 07:00:00,0.2087,82.8,1.2,1.64277777777778,-1.07111111111111
"N115",2018-02-01 08:00:00,0.2087,81.8,1.2,1.64277777777778,-2.65277777777778
"N115",2018-02-01 09:00:00,0.208,77.8,6.2,1.64277777777778,-3.92611111111111
"N115",2018-02-01 10:00:00,0.208,64.9,51.2,1.64277777777778,-6.01
"N115",2018-02-01 11:00:00,0.2073,58.6,141.2,1.64277777777778,-6.73722222222222
"N115",2018-02-01 12:00:00,0.2066,54.7,208.7,1.64277777777778,-7.64
"N115",2018-02-01 13:00:00,0.2058,47.8,221.2,1.615,-7.47722222222222
"N115",2018-02-01 14:00:00,0.2058,41.6,236.2,1.615,-8
"N115",2018-02-01 15:00:00,0.2051,41.8,286.2,1.615,-8.165
"N115",2018-02-01 16:00:00,0.2044,42.5,141.2,1.58777777777778,-8.83
"N115",2018-02-01 17:00:00,0.2037,44.8,61.2,1.58777777777778,-9.47277777777778
"N115",2018-02-01 18:00:00,0.2022,46.2,21.2,1.58777777777778,-10.51
"N115",2018-02-01 19:00:00,0.2015,47.8,1.2,1.56111111111111,-11.1461111111111
"N115",2018-02-01 20:00:00,0.2,49.1,1.2,1.56111111111111,-11.4327777777778
"N115",2018-02-01 21:00:00,0.1986,49,1.2,1.53388888888889,-11.7211111111111
"N115",2018-02-01 22:00:00,0.1971,49.4,1.2,1.53388888888889,-11.9761111111111
"N115",2018-02-01 23:00:00,0.1949,49.1,1.2,1.50722222222222,-12.49
"N115",2018-02-02 00:00:00,0.1913,52,1.2,1.48,-13.05
"N115",2018-02-02 01:00:00,0.1906,53.3,1.2,1.48,-13.8872222222222
"N115",2018-02-02 02:00:00,0.1884,53.7,1.2,1.45277777777778,-14.825
"N115",2018-02-02 03:00:00,0.1855,56.3,1.2,1.45277777777778,-15.2638888888889
"N115",2018-02-02 04:00:00,0.184,58.2,1.2,1.425,-15.6677777777778
"N115",2018-02-02 05:00:00,0.1819,60.6,1.2,1.39777777777778,-15.9538888888889
"N115",2018-02-02 06:00:00,0.1797,62.7,1.2,1.39777777777778,-16.0772222222222
"N115",2018-02-02 07:00:00,0.1782,65.6,1.2,1.37111111111111,-16.2838888888889
"N115",2018-02-02 08:00:00,0.1768,67.9,1.2,1.37111111111111,-16.45
"N115",2018-02-02 09:00:00,0.1753,70.7,13.7,1.34388888888889,-16.0772222222222
"N115",2018-02-02 10:00:00,0.1732,67.5,58.7,1.31722222222222,-14.785
"N115",2018-02-02 11:00:00,0.1717,60.6,143.7,1.31722222222222,-13.39
"N115",2018-02-02 12:00:00,0.1702,53.7,223.7,1.28888888888889,-11.3611111111111
"N115",2018-02-02 13:00:00,0.1695,49.1,198.7,1.28888888888889,-10.1961111111111
"N115",2018-02-02 14:00:00,0.1688,45.3,258.7,1.26222222222222,-8.89722222222222
"N115",2018-02-02 15:00:00,0.1688,42.7,273.7,1.235,-8.19777777777778
"N115",2018-02-02 16:00:00,0.1681,40.6,143.7,1.235,-7.575
